author_id,work_id,author_name,work_title,coverage
tlg0385,tlg011,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (Petri Patricii excerpta Vaticana sive Maiana) :: TLG 0385 011,tlg
tlg0385,tlg012,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (excerpta Planudea) :: TLG 0385 012,tlg
tlg0385,tlg013,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (Joannis Antiocheni excerpta e Dione derivata) :: TLG 0385 013,tlg
tlg0385,tlg014,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (excerpta Salmasiana) :: TLG 0385 014,tlg
tlg0385,tlg015,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (excerpta Constantiniana cum Dionis verbis composita) :: TLG 0385 015,tlg
tlg0385,tlg016,CASSIUS DIO,"CASSIUS DIO :: Historiae Romanae (ap. Photium, Bibl. cod. 71) :: TLG 0385 016",tlg
tlg0385,tlg017,CASSIUS DIO,CASSIUS DIO :: Testimonia :: TLG 0385 017,tlg
tlg0386,tlg001,CHILONIS EPISTULA,CHILONIS EPISTULA :: Epistula :: TLG 0386 001,tlg
tlg0387,tlg001,SAPPHUS vel ALCAEI FRAGMENTA,SAPPHUS vel ALCAEI FRAGMENTA :: Fragmenta :: TLG 0387 001,tlg
tlg0387,tlg002,SAPPHUS vel ALCAEI FRAGMENTA,SAPPHUS vel ALCAEI FRAGMENTA :: Fragmenta :: TLG 0387 002,tlg
tlg0388,tlg001,ACTA PAULI,ACTA PAULI :: Acta Pauli :: TLG 0388 001,tlg
tlg0388,tlg002,ACTA PAULI,ACTA PAULI :: Martyrium Pauli :: TLG 0388 002,tlg
tlg0388,tlg003,ACTA PAULI,ACTA PAULI :: Pauli et Corinthiorum epistulae (P. Bodmer 10) :: TLG 0388 003,tlg
tlg0388,tlg004,ACTA PAULI,ACTA PAULI :: Acta Pauli et Theclae :: TLG 0388 004,tlg
tlg0388,tlg005,ACTA PAULI,ACTA PAULI :: Acta Pauli et Theclae (partis finalis recensio e codice G) :: TLG 0388 005,tlg
tlg0389,tlg001,ACTA PETRI,ACTA PETRI :: Martyrium Petri :: TLG 0389 001,tlg
tlg0390,tlg001,"MARTYRIUM CARPI, PAPYLI ET AGATHONICAE","MARTYRIUM CARPI, PAPYLI ET AGATHONICAE :: Martyrium sanctorum Carpi, Papyli et Agathonicae :: TLG 0390 001",tlg
tlg0391,tlg001,ACTA SCILLITANORUM MARTYRUM,ACTA SCILLITANORUM MARTYRUM :: Acta Scillitanorum martyrum sive Passio Sperati et sociorum :: TLG 0391 001,tlg
tlg0392,tlg001,ACUSILAUS,ACUSILAUS :: Testimonia :: TLG 0392 001,tlg
tlg0392,tlg002,ACUSILAUS,ACUSILAUS :: Fragmenta :: TLG 0392 002,tlg
tlg0392,tlg003,ACUSILAUS,ACUSILAUS :: Testimonia :: TLG 0392 003,tlg
tlg0392,tlg004,ACUSILAUS,ACUSILAUS :: Fragmenta :: TLG 0392 004,tlg
tlg0394,tlg001,APOLLONIUS,APOLLONIUS :: Fragmenta :: TLG 0394 001,tlg
tlg0395,tlg001,DIOPHANTUS,DIOPHANTUS :: Fragmentum :: TLG 0395 001,tlg
tlg0395,tlg002,DIOPHANTUS,DIOPHANTUS :: Fragmenta :: TLG 0395 002,tlg
tlg0396,tlg001,EUPHANES,EUPHANES :: Fragmentum :: TLG 0396 001,tlg
tlg0397,tlg001,PRONOMUS,PRONOMUS :: Titulus :: TLG 0397 001,tlg
tlg0398,tlg001,SIMYLUS,SIMYLUS :: Fragmentum :: TLG 0398 001,tlg
tlg0398,tlg002,SIMYLUS,SIMYLUS :: Fragmentum :: TLG 0398 002,tlg
tlg0399,tlg001,EUDOXUS,EUDOXUS :: Fragmenta :: TLG 0399 001,tlg
tlg0399,tlg002,EUDOXUS,EUDOXUS :: Tituli :: TLG 0399 002,tlg
tlg0400,tlg001,ALCAEUS,ALCAEUS :: Fragmenta :: TLG 0400 001,tlg
tlg0400,tlg002,ALCAEUS,ALCAEUS :: Fragmenta :: TLG 0400 002,tlg
tlg0400,tlg003,ALCAEUS,ALCAEUS :: Fragmentum :: TLG 0400 003,tlg
tlg0400,tlg004,ALCAEUS,ALCAEUS :: Fragmentum :: TLG 0400 004,tlg
tlg0401,tlg001,ALEXANDER,ALEXANDER :: Fragmenta :: TLG 0401 001,tlg
tlg0401,tlg002,ALEXANDER,ALEXANDER :: Fragmenta :: TLG 0401 002,tlg
tlg0402,tlg001,ALEXIS,ALEXIS :: Fragmenta :: TLG 0402 001,tlg
tlg0402,tlg002,ALEXIS,ALEXIS :: Fragmenta :: TLG 0402 002,tlg
tlg0402,tlg003,ALEXIS,ALEXIS :: Fragmentum :: TLG 0402 003,tlg
tlg0402,tlg004,ALEXIS,ALEXIS :: Tituli :: TLG 0402 004,tlg
tlg0402,tlg005,ALEXIS,ALEXIS :: Fragmenta :: TLG 0402 005,tlg
tlg0402,tlg006,ALEXIS,ALEXIS :: Fragmenta :: TLG 0402 006,tlg
tlg0403,tlg001,AMIPSIAS,AMIPSIAS :: Fragmenta :: TLG 0403 001,tlg
tlg0403,tlg002,AMIPSIAS,AMIPSIAS :: Fragmenta :: TLG 0403 002,tlg
tlg0403,tlg003,AMIPSIAS,AMIPSIAS :: Fragmentum :: TLG 0403 003,tlg
tlg0403,tlg004,AMIPSIAS,AMIPSIAS :: Tituli :: TLG 0403 004,tlg
tlg0404,tlg001,AMPHIS,AMPHIS :: Fragmenta :: TLG 0404 001,tlg
tlg0404,tlg002,AMPHIS,AMPHIS :: Fragmenta :: TLG 0404 002,tlg
tlg0405,tlg001,ANAXANDRIDES,ANAXANDRIDES :: Fragmenta :: TLG 0405 001,tlg
tlg0405,tlg002,ANAXANDRIDES,ANAXANDRIDES :: Fragmenta :: TLG 0405 002,tlg
tlg0405,tlg003,ANAXANDRIDES,ANAXANDRIDES :: Fragmentum :: TLG 0405 003,tlg
